Grade, g1, g2, g3, g4, g5, g6, g7, g8, g9, Unique, Honor, Itemmall, Event, Valor
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,1,1,1,1,1,1,1,0,1,1
7,0,0,0,0,1,1,1,1,1,1,1,0,1,1
8,0,0,0,1,1,1,1,1,1,1,1,0,1,1
9,0,0,0,1,1,1,1,1,1,1,1,0,1,1
10,0,0,1,1,1,1,1,1,1,1,1,0,1,1
11,0,0,1,1,1,1,1,1,1,1,1,0,1,1
11,0,1,1,1,1,1,1,1,1,1,1,0,1,1
12,0,1,1,1,1,1,1,1,1,1,1,0,1,1
14,1,1,1,1,1,1,1,1,1,1,1,0,1,1
15,1,1,1,1,1,1,1,1,1,1,1,0,1,1
